company,avg_salary($),salary_type
Amadeus_Consulting,N/A,year
Amadeus_International_Inc,N/A,year
Amag_Technology,N/A,year
Amazing_Charts.com,N/A,year
Amazon.com_Inc,100,year
Amber_Road,74,year
Amdocs%2C_Inc%2C.,109,year
Amee_Bay,N/A,hour
Amelex,N/A,year
American_Megatrends_Inc,N/A,year
American_Psychological_Association,75,year
American_Software%2C_Inc.,N/A,year
American_Systems_Corporation,91,year
American_Technology_Services,N/A,year
American_Telephone_and_Telegraph_Company,88,year
American_Tower_Corporation,84,year
American_Traffic_Solutions,86,year
American_Well,96,year
Americaneagle.Com,69,year
Americom,N/A,year
Ameridial,N/A,hour
Ampcus,N/A,year
Amyx,91,year
An_Post,N/A,hour
Analytical_Graphics%2C_Inc,101,year
Anaqua,82,year
Ancestry.com,107,year
Anchor_Computer,N/A,year
Ancor_Information_Management,N/A,year
Andesa_Services,61,year
Anexinet_Technology,N/A,year
Anexio,N/A,year
Angie%27s_List,95,year
Annese_%26_Associates,67,year
Anonymous_Company,82,year
Answernet_Incorporated,N/A,hour
Ansys_Incorporated,93,year
Antech,N/A,year
Anything_Wireless,N/A,hour
Aol%2C_LLC,93,year
Apcon,N/A,year
Apex_Advertising,N/A,year
Apex_Analytix_Inc,88,year
Apex_Consultants,N/A,hour
Apex_Learning_Inc,73,year
Apex_Software,N/A,year
Apex_Systems,24,hour
Apex_Systems%2C_Inc.,31,hour
Apogee,85,year
AppDynamics,121,year
AppFolio%2C_Inc.,80,year
AppNexus,102,year
AppRiver,72,year
Appian_Corporation,100,year
Apple_Computer%2C_Inc,133,year
Apple_Marketing,N/A,year
Applexus,N/A,year
Applicant_Insight,N/A,year
Applied_Imaging_Corp.,49,year
Applied_Information_Sciences%2C_Inc,102,year
Applied_Predictive_Technologies,89,year
Applied_Research_Associates%2C_Inc._(ARA),88,year
Applied_Systems%2C_Inc.,79,year
Applied_Technical_Systems%2C_Inc.,N/A,hour
Applied_Technology_Group,N/A,year
Apprio,N/A,year
Appriss%2C_Inc.,81,year
Apptio,90,year
Aprimo%2C_Inc.,N/A,year
