company,avg_salary($),salary_type
Crystal_Dynamics,N/A,year
CrystalCommerce%2C_Inc.,N/A,year
Css_Corp,17,hour
Cubic_Applications%2C_Inc.,93,year
Cubic_Corporation,103,year
Cubic_Defense_Applications_Group,111,year
Culbert_Healthcare_Solutions,N/A,year
Cumulus,N/A,year
Curriculum_Associates%2C_Inc.,79,year
Curse,N/A,year
Custom_Computer_Specialists%2C_Inc.,53,year
Custom_Data_Processing,N/A,year
Cuyahoga_County,57,year
Cvent%2C_Inc.,76,year
Cxtec,N/A,year
CyberCoders,N/A,year
CyberCore_Technologies,N/A,year
Cybera,N/A,year
Cyracom,16,hour
CyrusOne,21,hour
cPanel,N/A,year
D_Magazine,64,year
D3Corp,N/A,year
DB_Consulting_Group%2C_Inc.,N/A,year
DBS,N/A,year
DCS_Corporation,90,year
DELTA_Resources%2C_Inc.,N/A,year
DEMCO,76,year
DH_Corporation,N/A,year
DHI_Corporation,73,year
DHS_CBP,91,year
DICE,81,year
DIRECTV%2C_LLC.,100,year
DISA_Global_Solutions,73,year
DKW_Communications,N/A,year
DLT_Solutions%2C_Inc.,72,year
DMI_Industries,63,year
DP_Solutions,N/A,hour
DP_Technology,82,year
DR_Systems%2C_Inc.,N/A,hour
DRS_Technologies%2C_Inc.,85,year
DSI_Systems_Inc,N/A,year
DSS_Inc.,73,year
DST_Health_Solutions_Inc,15,hour
DST_Systems_Inc,72,year
DSi,74,year
DTC_Communications,N/A,year
DTS,N/A,hour
DTSI,N/A,year
DTT_Surveillance,N/A,hour
DVS_InteleStream,N/A,year
Dailymotion,N/A,year
Dakota_County,N/A,hour
Dakota_Software_Corporation,N/A,year
Dark_Horse_Comics,N/A,hour
Dassault,N/A,year
Dassault_Systemes_Inc,103,year
Dassault_Systems_Corp,115,year
Data_Foundry,N/A,year
Data_Innovations,N/A,year
Data_Management_Inc.,N/A,year
Data_Recognition_Corporation,94,year
Data_Systems_Analysts,N/A,year
Data_Systems_International,69,year
Data_Transmission_Network,N/A,year
DataComm_Networks,N/A,year
DataCore,72,year
DataLab_USA,N/A,year
DataServ,55,year
DataVox,21,hour
Databank_Imx,79,year
Datacard_Corporation,83,year
Datacom,N/A,year
Datalink_Inc.,N/A,year
Datalogic_Inc,67,year
Datamark_Incorporated,N/A,year
Datamax,N/A,hour
Datapath%2C_Inc.,84,year
Datapipe_Inc,N/A,year
Dataprise,70,year
Datascan_Technologies_LLC,N/A,year
Datavail,95,year
Dattco_Inc,N/A,hour
Datto,83,year
Datum_Software,N/A,year
Daugherty_Business_Solutions,95,year
Davidson_Technologies,N/A,year
Daxko,61,year
Day_Wireless_Systems,N/A,hour
DaySmart_Software,N/A,year
Daystar,N/A,year
DeNA_Global,N/A,year
Dealer.Com,63,year
Dealer_Specialties%2C_Inc,N/A,hour
DealerOn,55,year
Dealersocket,64,year
Dealertrack%2C_Inc.,N/A,year
Dealogic_LLC,N/A,year
Dean_Evans_%26_Associates,N/A,year
Decisionone_Corporation,N/A,hour
Decisive_Data_Inc.,73,year
Decline,75,year
Decypher_Technologies,70,year
Dedicated_Micros,N/A,year
Deep_Blue_Communications,N/A,year
Defense_Information_Systems_Agency,84,year
Defense_Intelligence_Agency,87,year
Delaware_State_Police,N/A,year
Dell_Financial_Services,N/A,year
Dell%2C_Inc.,99,year
Deltek_Inc.,76,year
Deluxe_Corp,86,year
Deluxe_Digital_Media,82,year
Demand_Media,N/A,year
Demandforce,N/A,year
Demandware,N/A,year
Denali_Advanced_Integration,N/A,year
Denim_Group%2C,N/A,year
Denovo,72,year
Department_of_Administration,67,year
Department_of_Health_Services,57,year
Department_of_The_Army,86,year
Deque_Systems,N/A,year
Design_Center,N/A,year
Design_Science,N/A,year
Dexter_Chaney,90,year
Dial_America%2C_Inc.,10,hour
Dialamerica_Marketing%2C_Inc.,N/A,year
Dicentral_Corp.,N/A,year
Digg,N/A,year
DigiCert,79,year
Digicel_Group,76,year
Digimarc,N/A,year
Digital,62,year
Digital_Dimensions%2C_Inc.,N/A,year
Digital_Extremes,N/A,year
Digital_Infuzion,N/A,year
Digital_Innovation%2C_Inc.,N/A,year
Digital_Insight,N/A,year
Digital_Lagoon,N/A,hour
Digital_Management,87,year
Digital_Map_Products,N/A,year
Digital_Realty,N/A,year
Digital_River%2C_Inc.,92,year
Digium%2C_Inc.,70,year
Diligent,77,year
Dimagi,N/A,year
Dimension_Data,110,year
Direct,17,hour
Direct_Supply_Inc.,68,year
Direct_Technology,N/A,year
DiscoverOrg,65,year
Dish_Network_Corporation,82,year
Disti,76,year
Distribution_Management_Systems%2C_Inc._(DMSi),N/A,year
Disys,30,hour
Diversant,N/A,year
Diversified_Data_Systems,N/A,hour
DocMagic,N/A,year
Document_Security_Systems_Inc,N/A,year
Docusign%2C_Inc.,112,year
Docutech_Corp,N/A,year
Dodds,N/A,year
Dolby_Laboratories%2C_Inc.,123,year
Dominion_Enterprises%2C_Inc.,69,year
Domo%2C_Inc.,85,year
Dovetail_Systems,N/A,year
Dow_Jones_%26_Co_Inc,96,year
DrFirst,N/A,year
Drake_Enterprises%2C_Ltd.,N/A,year
Drake_Software,N/A,hour
DrawBridge,99,year
Drilling_Info,71,year
Dropbox%2C_Inc.,107,year
Duck_Creek_Technologies_Inc,90,year
Dun_%26_Bradstreet_Corp,90,year
Duos_Technologies,N/A,year
Dycom_Industries_Inc,73,year
Dyn,N/A,year
Dynamit_Technologies,N/A,year
Dynetics%2C_Inc.,82,year
Dyntek%2C_Inc.,N/A,year
Dyonyx,N/A,year
E-Builder%2C_Inc,N/A,year
E2open,114,year
EA_Mobile,N/A,year
EA_Sports,103,year
EAC_Product_Development_Solutions,N/A,year
EAI_Corporation,N/A,year
EBSCO_Information_Services,80,year
ECS_Federal%2C_LLC.,87,year
ECi_Software_Solutions,85,year
EDI,N/A,hour
EDTS,48,year
EID_PAssport,N/A,year
EIS%2C_Inc.,95,year
EMC_Corporation,88,year
ENS_Group,N/A,year
EPIC%2C_Inc,74,year
EPL_%2C_Inc,N/A,year
ESET%2C_LLC,N/A,year
ESI_Corporation,N/A,year
ESI_North_America%2C_Inc,N/A,year
ESO_Solutions,81,year
EXILANT_Technologies,103,year
EXL_Service.com,97,year
Eagle_Creek_Software_Services,73,year
Eagle_Investment_Systems,N/A,year
Eagle_Technology_Management,N/A,year
EagleView_Technologies,80,year
Early_Warning_Services%2C_LLC,103,year
Earth_Resources_Technology%2C_Inc.,N/A,year
EarthLink_Business,N/A,hour
Earthlink%2C_Inc.,N/A,year
Eatel,N/A,year
Ebates,87,year
Ebix%2C_Inc.,N/A,year
Ebsco_Industries%2C_Inc.,68,year
Ebsco_Publishing,N/A,year
Echostar,N/A,year
Echostar_Communications_Corporation,N/A,year
Eclinicalworks%2C_LLC,77,year
Edaptive_Computing%2C_Inc.,58,year
Edco,N/A,year
Edgenet%2C_Inc,63,year
Edgewater_Technology,N/A,year
Edifecs,116,year
Edmunds.Com,83,year
Education_Logistics_Inc.,N/A,year
Education_Networks_of_America,N/A,year
Efjohnson,N/A,year
Egencia,100,year
Election_Systems_and_Software,N/A,year
Electronic_Arts_Inc.,102,year
Electronic_Commerce_Inc,N/A,year
Electronic_Systems%2C_Inc._(ESI),54,year
Electronics_For_Imaging_Inc,84,year
Elemental_Technologies,N/A,hour
Elemica,N/A,year
Eliza_Corporation,101,year
Ellie_Mae,102,year
Ellucian_Company_L.P.,98,year
Elsevier_Science,78,year
Emagine_IT,N/A,year
Emco_Technologies,N/A,hour
Emdeon_Business_Services,72,year
Emerge,61,year
Emergent_Space_Technologies%2C_Inc.,N/A,year
Emerson_Network_Power_(Emerson_Electric_Co.),88,year
Emmis_Communication_Corporation,N/A,year
Emoney.Com%2C_LLC,85,year
Empereon_Marketing,N/A,year
Empirix,98,year
Employment_Security_Department,62,year
Empowered_Benefits,68,year
Empyrean_Benefit_Solutions,71,year
Emtec_Incorporated,17,hour
EnCompass_Technologies,73,year
Enablon,79,year
Encompass_Digital_Media,N/A,hour
Encore_Business_Solutions,N/A,year
Encyclop%C3%A6dia_Britannica%2C_Inc.,N/A,year
Endeavor_Communications,N/A,year
Endpoint,86,year
Endurance,68,year
Endurance_International,87,year
Energy_Services_Group,24,hour
Energy_XXI,93,year
EnergyCAP,N/A,year
Enernoc%2C_Inc.,80,year
Enertia_Software,N/A,year
Engage,N/A,year
Enghouse_Systems_Ltd.,88,year
Engility_Corporation,89,year
Engineering_Associates,N/A,year
Engineering_Software_Solutions,N/A,year
Enmr_Plateau,N/A,year
Ensco%2C_Inc.,95,year
Enstoa,N/A,year
Enterprise_Information_Services%2C_Inc.,N/A,year
Enterprise_Integration,N/A,year
Entertainment_Partners_Inc,91,year
Entisys_Solutions,N/A,year
Entre,N/A,year
Envestnet,75,year
Enviance,N/A,hour
Environmental_Systems_Research_Institute%2C_Inc.,36,hour
Envisage,59,year
Envisage_Information_Systems,N/A,year
Envisionware%2C_Inc.,N/A,year
Eoir_Technologies%2C_Inc.,N/A,year
Epam_Systems,126,year
Epic,76,year
Epic_Games%2C_Inc.,86,year
Epic_Systems%2C_Corporation,81,year
Epicor_Software_Corporation,84,year
Epiq_Systems%2C_Inc,88,year
Eplus_Group%2C_Inc.,N/A,year
Eplus_Technology%2C_Inc.,23,hour
Epsilon,88,year
Epsilon_Systems_Solutions%2C_Inc.,95,year
Equest,N/A,year
Equifax_Inc,98,year
Equinix%2C_Inc.,97,year
Equus_Computer_Systems%2C_Inc,N/A,year
Equus_Software,N/A,year
Erickson,76,year
Ericsson_Inc.,114,year
Esker,N/A,year
Esri,38,hour
Etech%2C_Inc.,15,hour
Ethos_Solutions,N/A,year
Etouches,N/A,year
Ettain_Group,N/A,hour
Euclid_Technology,N/A,year
Euronet_Worldwide%2C_Inc.,92,year
Eventbrite,91,year
Everbridge,88,year
Evernote,143,year
Every_Child_Achieves,N/A,year
Everyone_Counts,90,year
Evisions%2C_Inc,92,year
Evoke_Technologies,N/A,year
Evolent_Health_LLC,81,year
Evolution1,N/A,year
Evolve_IP,66,year
Evosus%2C_Inc.,N/A,year
Eworld_Enterprise_Solutions,N/A,year
Exa_Corporation,N/A,year
Exact_Software,N/A,year
Exari,N/A,year
Excelacom%2C_Inc,71,year
Executive_Personal_Computers,N/A,year
Exostar,85,year
Expedia%2C_Inc.,109,year
Expedient,57,year
Experian_Group_Ltd,98,year
Experian_Limited,94,year
Experian_QAS,76,year
Expert_Global_Solutions%2C_Inc.,N/A,hour
Explore_and_Develop,N/A,year
ExponentHR,N/A,year
Exscribe_Inc,96,year
Extech,N/A,hour
Exterro%2C_Inc.,N/A,year
Extreme_Networks,93,year
Eze_Castle_Integration,N/A,year
Eze_Castle_Software,104,year
eBay_Inc.,131,year
eCivis,N/A,year
eFront,N/A,year
eGain_Communications,N/A,year
eInfochips,100,year
eLocal_Listing_LLC,N/A,year
eMarketer,87,year
ePlan_Services,N/A,year
eQ_Technologic,82,year
eVestment_Alliance,89,year
emids_Technologies,N/A,year
F5_Networks%2C_Inc.,117,year
FACTOR,N/A,year
FBS_Data_Systems,N/A,year
FCi_Federal,14,hour
FEI_Behavioral_Health,N/A,year
FEI_Company,83,year
FG_Wilson,N/A,year
FIS,82,year
FMG_Suite,64,year
FPT_Software,N/A,year
FSE%2C_Inc.,N/A,year
Facebook_Inc,127,year
Factset_Research_Systems_Inc.,102,year
Fair_Isaac_Corporation,106,year
Fairpoint_Communications%2C_Inc.,78,year
Faithlife_Corporation,76,year
Fakespace,N/A,year
FanDuel,89,year
Fandango,97,year
Fast_Enterprises%2C_LLC,93,year
FastSpring,N/A,year
Faster_Solutions,N/A,year
Fathom,87,year
Federal_Bureau_of_Investigation_(FBI),75,year
Federated_IT,N/A,year
Federation_of_State_Medical_Boards,N/A,year
Feeney_Wireless,N/A,year
Femme_Comp_Inc.,N/A,year
Feynman_Group,N/A,year
Fidelity_Communications,N/A,hour
Fidelity_National_Information_Services_(fnis),81,year
Fidelity_National_Information_Solutions_(FNIS),78,year
Fidelity_Technologies,93,year
Fidessa_Corporation,92,year
Filament_Games,N/A,year
Findaway_World,N/A,year
Fine_Designs,N/A,year
Finisar_Corporation,109,year
Firaxis_Games,N/A,year
Firespring,N/A,year
Fireye,120,year
First,76,year
First_Advantage_Corporation,N/A,hour
First_Data_Resources,N/A,year
First_DataBank,N/A,year
Fiserv_Inc,90,year
Fishbowl_Marketing_Inc,N/A,year
Fishbowl_Solutions,N/A,year
Fisher%2FUnitech,76,year
Fisher%27s_Document_Systems,N/A,hour
Fitbit,112,year
Five9,105,year
Flatirons_Solutions,N/A,year
Fleetmatics_Development_Limited,N/A,year
Flexera_Software,83,year
Flexible_Business_Systems,54,year
Flow_Science_Inc.,N/A,year
Focus_Services,N/A,year
Foliage,N/A,year
Fonality,N/A,year
Foobar_Company,N/A,year
Foothold_Technology,N/A,year
Force3%2C_Inc.,N/A,year
Forddirect,N/A,year
ForeSee_Results,72,year
ForeSite_Technologies,N/A,year
Foremost,N/A,year
Forensic_Technology_Incorporated,N/A,year
Forensics_Consulting_Solutions,N/A,year
Forsythe_Solutions_Group%2C_Inc.,83,year
Forte_Group,N/A,year
Forte_Research_Systems,82,year
Fortinet_Inc,118,year
Fortress_Solutions,N/A,hour
Forward_Advantage%2C_Inc.,N/A,hour
Forward_Edge%2C_Inc.,N/A,year
Forward_Slope_Inc,N/A,year
Foundation_Software%2C_Inc.,57,year
Four_Winds_Interactive,64,year
Foxconn_Electronics%2C_Inc,64,year
Free_Stream_Media_Corp,N/A,year
FreeWheel_Media_Inc.,99,year
Freeconferencecall.com,54,year
Freedom_Scientific,N/A,hour
FreedomPay,N/A,year
Frequentis,N/A,year
Freshdesk,N/A,year
Freudenberg,81,year
Friedman_Corporation,N/A,year
Front_Rush,N/A,year
Frontier_Communications_Inc.,87,year
Frontier_Corp,76,year
Frontier_Technologies,N/A,year
Frontline_Communications,N/A,year
Frontline_Technologies_Group_LLC.,78,year
Fujifilm_Medical_Systems_Inc.,90,year
Fujitsu,90,year
Fujitsu_Consulting_Inc.,N/A,year
Fujitsu_Network_Communications_(FNC),N/A,year
Fulcrum,94,year
Fuse,N/A,year
Fusionstorm,N/A,year
Future_Technologies%2C_Inc.,N/A,year
FutureNet_Group,N/A,year
Fuzz_Productions,N/A,year
G-Squared,29,hour
G5,N/A,year
G5_Search_Marketing,63,year
GAVS_Information_Services_Pvt_Ltd,N/A,year
GBL_Systems,N/A,hour
GC_Services%2C_Ltd,13,hour
GCI_Group,N/A,year
GCR_Incorporated,N/A,year
GCS_Technologies,N/A,year
GDH_Consulting,N/A,hour
GE_Information_Technology_Solutions,N/A,year
GEP,89,year
GIO,N/A,hour
GPS_Insight,N/A,year
GRSi,78,year
GSMA,N/A,year
GT_Nexus,94,year
GTECH_Corporation,N/A,year
GTL_Limited,N/A,year
GVTC,N/A,year
GWI,N/A,year
GaN_Corporation,N/A,year
Gaiam%2C_Inc.,73,year
Gainsight,109,year
Galaxe_Solutions,N/A,year
Galen_Healthcare_Solutions,75,year
GameChanger,88,year
GameStop_Corp.,14,hour
Gameloft_Inc,56,year
Gamma_Technologies%2C_Inc.,N/A,year
Gartner_Group_Inc,95,year
Gastroenterology_Consultants_of_San_Antonio,N/A,hour
Gateway_Ticketing_Systems,N/A,year
Gearbox_Software,63,year
Geeksquad,16,hour
Gemalto%2C_Inc.,79,year
Genband_Inc,103,year
General_Communication%2C_Inc._(GCI),87,year
General_Dynamics_Advanced_Information_Systems,84,year
General_Dynamics_C4_Systems,89,year
General_Dynamics_Corp.,89,year
General_Dynamics_Information_Technology_Inc,85,year
General_Electric_(GE)_Healthcare,95,year
General_Electric_(GE)_Infrastructure,N/A,year
Genesys,100,year
Genesys_Telecommunications%2C_Inc.,96,year
Genesys_Telecommunications_Laboratories_Inc.,N/A,year
Genoa_Healthcare%2C_LLC,15,hour
Genpact,96,year
Genscape%2C_Inc.,70,year
GeoDigital,N/A,year
Geocent,81,year
Geodecisions,N/A,year
Geonetric,63,year
Georgia_Technology_Authority,N/A,year
GetWellNetwork,94,year
Getronics_Ltd,20,hour
Getty_Images%2C_Inc.,97,year
Giesecke_and_Devrient,N/A,year
Gigamon_Inc.,113,year
Gigya,N/A,year
Gimmal,N/A,year
Gingerbread_Shed_LLC,N/A,year
GitLab,111,year
Glassdoor,117,year
Global_Business_Consulting_Services,N/A,year
Global_Business_Solutions,N/A,year
Global_Data_Systems%2C_Inc.,N/A,year
Global_Eagle_Entertainment,N/A,year
Global_Employment_Solutions,63,year
Global_Healthcare_Alliance,N/A,year
Global_Knowledge,N/A,year
Global_Linking_Solutions,N/A,hour
Global_Services_LLC,N/A,year
Global_Software,77,year
Global_Tel*Link%2C_Inc.,78,year
GlobalLogic,118,year
GlobalSign,N/A,year
Globalstar%2C_Inc.,73,year
Globant,126,year
Globecomm_Systems_Inc.,101,year
Globenet,N/A,year
Globoforce,N/A,year
Globys,99,year
Glotel%2C_Inc.,N/A,year
Glu_Mobile_Inc.,98,year
Go_Daddy_Inc,93,year
Go_Go_International,N/A,year
Go_Wireless_Inc,N/A,hour
Godaddy,103,year
Godaddy.Com%2C_Inc.,106,year
Gogo,110,year
Goldbelt%2C_Incorporated,N/A,year
Golden_West_Telecommunications,N/A,hour
Goodman_Networks%2C_Inc.,N/A,year
Google%2C_Inc.,124,year
Gotham_Technology_Group,N/A,year
Gowireless,N/A,hour
Grace_Hill%2C_Inc.,N/A,year
Gracenote,79,year
Grande_Communications,N/A,hour
Granicus,65,year
Granite,67,year
Granite_Telecommunications,65,year
Grant_Street_Group,75,year
Graphisoft,N/A,year
Great_Plains_Communications,N/A,year
Greatcall%2C_Inc.,75,year
Gree_International%2C_Inc.,N/A,year
Green_Hills_Software%2C_Inc.,N/A,year
Greenpages%2C_Inc.,N/A,year
Greenway_Health,60,year
Greenway_Medical_Technologies,N/A,year
GridPoint%2C_Inc.,N/A,year
Groundspeak,N/A,year
Groupware_Technology,82,year
GrubHub,95,year
Guardian_Pharmacy,16,hour
Guest-tek,N/A,year
Guidance_Software%2C_Inc.,N/A,year
Guidestar,N/A,year
Guidewire,120,year
Guidewire_Software,113,year
GyanSys,N/A,year
HBO_Latin_America,78,year
HCL_America%2C_Inc.,80,year
HCL_Infosystem_Ltd.,N/A,year
HCL_Technologies_Ltd.,83,year
HEALTHCAREfirst,22,hour
HID_Corporation,97,year
HM_Electronics,97,year
HP_Enterprise_Services,N/A,year
HP_Inc.,98,year
HP_Products,N/A,year
HPE,111,year
HTC_Global_Services_Inc.%2C,85,year
HTC_Inc,110,year
Halski_Systems_LLC,N/A,hour
Hanapin_Marketing,51,year
Hargray_Communications_Group,69,year
Hargray_Inc.,N/A,year
Harmonia,N/A,year
Harmonix,73,year
Harms_Software_Inc.,N/A,year
Harper_Collins_Inc.,67,year
Harris_Communications,N/A,year
Harris_Computer_Systems,65,year
Harris_Corporation,84,year
Harris_County_Toll_Road_Authority,N/A,hour
Harris_Group_Inc.,83,year
Harris_It_Services,56,year
Hawaiian_Telcom_Inc.,N/A,hour
Hawaiian_Telecom,N/A,year
Hawk_Ridge,N/A,year
Hayes_Management_Consulting,N/A,year
Hcms_Group%2C_Inc.,N/A,year
Health_Choice_Network%2C_Inc,N/A,year
Health_Information_Designs,N/A,year
Health_Leads,N/A,year
Health_Management_Systems%2C_Inc,83,year
Health_Services_Advisory_Group,75,year
HealthEquity,77,year
HealthHelp,98,year
HealthLine_Systems,N/A,year
Healthaxis,N/A,year
Healthgrades%2C_Inc.,74,year
Healthplan_Services%2C_Inc.,59,year
Healthport,13,hour
Healthstream%2C_Inc,80,year
Healthtrio_LLC,N/A,year
Healthwise%2C_Incorporated,N/A,year
Healthx,77,year
Hearsay_Social,115,year
Hearst_Business_Media,N/A,year
Hearst_Corporation,61,year
Heartland_Business_Systems,81,year
Heavy_Construction_Systems_Specialists,N/A,year
Helion_Automotive_Technologies,N/A,year
Hello_Direct,N/A,year
Henry_Schein%2C_Inc.,73,year
Hewlett-Packard_Company,98,year
Hewlett_Packard_Enterprise,106,year
Hexagon_Metrology%2C_Inc.,83,year
Hexaware_Technologies_Inc.,95,year
HiRez,N/A,year
High_Moon_Studios,N/A,year
High_Touch%2C_Inc.,N/A,year
High_Voltage_Software_Inc.,N/A,year
HighRadius,69,year
Higher_Information_Group,N/A,year
Higher_Logic,79,year
Higherground,N/A,hour
Himss,N/A,year
Hindsight_Inc.,N/A,year
Hired,N/A,year
Hireright%2C_Inc.,89,year
Hitachi_America%2C_Ltd.,91,year
Hitachi_Consulting,103,year
Hitachi_Data_Systems_Corp,96,year
Holman%27s,N/A,year
HomeAdvisor,74,year
HomeNet,N/A,year
Homeaway.com%2C_Inc.,91,year
Homecare_Homebase,67,year
Honeywell_Technology_Solutions%2C_Inc.,87,year
Horizon_Performance,N/A,year
Horizon_Software_International,N/A,year
Horizon_Telcom,N/A,year
Horry_Telephone_Cooperative%2C_Inc.,N/A,year
Host_Analytics,106,year
Hostgator,N/A,hour
Hosting.com,83,year
Hostway_Corporation,N/A,year
HotSchedules,79,year
Hotwire_Inc,N/A,year
Houzz_Inc.,76,year
Howard_Industries%2C_Inc.,N/A,year
Huawei,152,year
HubSpot,91,year
Hudl,75,year
Huge,94,year
Hughes,82,year
Hughes_Network_Systems%2C_Llc.,91,year
Hulu%2C_LLC,92,year
Huron_Consulting_Group_LLC,82,year
Hyland_Software%2C_Inc.,78,year
hCentive,78,year
I-Corp.,17,hour
I.T.S.,N/A,hour
I.T._Source,N/A,hour
IAC_Search_and_Media,91,year
IBM_Canada_Ltd.,N/A,year
IBM_Global_Services,108,year
IBM_India_Private_Limited,N/A,year
IBS_Software_Services,N/A,year
ICONMA,N/A,year
ICS_Corporation,N/A,year
ICS_Solutions,N/A,hour
ID_Analytics,91,year
ID_Software,N/A,year
IDT_Corp,84,year
IDT_Corporation,99,year
IES_Commercial_Inc.,22,hour
IFS_North_America_Inc,74,year
IHS_Energy_Ltd.,80,year
IHS_Inc.,80,year
IIA,N/A,year
IMImobile,N/A,year
IMS_Health_Inc,86,year
IMVU,100,year
INFORM%2C_Inc,N/A,year
INXPO,65,year
IOD_Incorporated,N/A,hour
ION_Exchange_Services_Ltd,N/A,year
IPC_Systems%2C_Inc.,N/A,year
IPKeys_Technologies,N/A,year
IPRO,N/A,year
IPRO_Tech%2C_Inc,N/A,year
IPsoft,98,year
IQ_Solutions%2C_Inc.,75,year
IQMS,74,year
IRI_International,85,year
ISACA,N/A,year
ISGN,71,year
ISHPI,50,year
ISNetworld,N/A,year
ISPA,N/A,year
ISS_Group,N/A,hour
IST_Research,N/A,year
IT_Authorities,62,year
IT%26E,N/A,year
ITA_Group%2C_Inc.,64,year
ITC_Infotech,N/A,year
ITN_International,N/A,year
ITRS_Group_plc,N/A,year
ITS%2C_Inc.,N/A,year
ITT_Exelis,82,year
ITV,N/A,year
IXL,70,year
Iac%2Finteractivecorp,88,year
Ibaset%2C_Inc.,N/A,year
Ibasis%2C_Inc,N/A,year
Icann,N/A,year
Icims,94,year
Icontact,64,year
Idealab,N/A,year
Idera,N/A,year
Idstc,N/A,year
Igate_Global_Solutions_Ltd.,80,year
Igate_Mastech_Inc,N/A,year
Ignite_Technologies,N/A,year
ImageSoft,N/A,year
ImageTrend,68,year
Imagenet_LLC,N/A,hour
Imageware_Systems%2C_Inc.,N/A,year
Imagine_One_Technology_%26_Management%2C_Ltd.,N/A,year
Imagine_Software,N/A,year
Immedion,N/A,year
Immersion,N/A,hour
Immixgroup%2C_Inc,N/A,year
Impact_Makers,N/A,year
Impact_Networking,62,year
Impact_Radius,N/A,year
Imperva,101,year
Impetus,N/A,year
Impinj%2C_Inc.,109,year
Imprivata,N/A,year
Imtas_Inc.,N/A,hour
InComm,85,year
InContact%2C_Inc.,86,year
InDemand_Interpreting,79,year
InMotion_Hosting,52,year
InSequence,N/A,year
Incom,N/A,hour
Indeed%2C_Inc.,92,year
Independent_Publishers_Group,N/A,year
Index_Exchange,94,year
Indiana_Health_Information_Exchange,N/A,year
Infinera,126,year
Infinite,N/A,year
Infinite_Campus%2C_Inc.,78,year
Infinite_Computer_Solutions_%2C_Inc.,N/A,year
Infinite_Computing_Systems,N/A,year
Infinity_Technology%2C_Inc,N/A,year
Info_Systems_Inc,N/A,year
Info_Tech%2C_Inc.,N/A,year
InfoGroup,N/A,year
InfoStretch,N/A,year
InfoSys_Limited,86,year
Infocision,N/A,hour
Infocision_Management_Corporation,N/A,year
Infogain_Corporation,N/A,year
Infogix%2C_Inc.,N/A,year
Infor_Global_Solutions,87,year
Infor%2C_Inc.,92,year
Informa,73,year
Informa_Global_Markets,71,year
Informatica_Corporation,130,year
Information_Builders%2C_Inc.,96,year
Information_Control_Corporation,80,year
Information_International_Associates,N/A,year
Information_Management_Group,N/A,year
Information_Management_Services,N/A,year
Information_Resources%2C_Inc.,87,year
Information_Strategies,N/A,year
Information_Systems_and_Networks_(ISN),60,year
Information_Technology%2C_Inc.,74,year
Infosys_BPO,91,year
Infosys_International,84,year
Infotech,78,year
Infotrax_Systems,N/A,year
Infovista,N/A,year
Infozen%2C_Inc.,N/A,year
InfraNet_Technologies_Group,N/A,year
Infusion_Development_Corporation,N/A,year
Infusion_Software,N/A,year
Infusionsoft,90,year
Ingenio_Inc,N/A,year
Ingenious_Med,97,year
Ingram_Micro_Inc,74,year
Inkling,N/A,year
Inland_Cellular,N/A,hour
Inline,N/A,hour
Inmar_Enterprises%2C_Inc.,76,year
Inmarsat,80,year
Innosource_Business_Solutions%2C_Inc,N/A,year
Innova_Systems,N/A,year
InnovaSystems_International%2C_LLC,N/A,year
Innovative,20,hour
Innovative_Computer_Systems,N/A,year
Innovative_Interfaces%2C_Inc.,N/A,year
Innovative_Software_Solutions_Inc,N/A,year
Innovative_Solutions,N/A,year
Innovest_Systems,N/A,year
Innovim,N/A,year
Inovalon,89,year
Inrix,N/A,year
InsideSales.com,68,year
Insight,84,year
Insight_Enterprises%2C_Inc.,80,year
Insight_Global%2C_Inc.,56,year
Insight_Software,N/A,year
InsightAmerica,N/A,year
Insignia_Health,N/A,year
Insite_Technology_Ltd,N/A,year
Insomniac_Games,N/A,year
Inspiritec_Inc.,N/A,hour
Inspirus%2C_LLC,N/A,year
Inspur,N/A,year
Instacart,95,year
Instec,N/A,year
Instructure%2C_Inc.,79,year
Insum_Solutions,N/A,year
Insurance_Technologies_Corporation,76,year
Insuresoft%2C_LLC,N/A,year
Insurity_Inc,92,year
Intacct_Corporation,N/A,year
Integra,84,year
Integra_Group,76,year
Integra_Solutions,N/A,year
Integra_Telecommunications,N/A,year
Integral,81,year
Integrate.com,92,year
Integrated_Computer_Solutions,76,year
Integrated_Services_Group%2C_Inc.,N/A,hour
Integration_Partners,N/A,year
Integration_Point,72,year
IntelePeer,N/A,year
Intelex_Technologies,84,year
Intelisys,N/A,year
Intelity_Solutions,N/A,year
IntelliCorp,N/A,year
Intellidyne_LLC,N/A,year
Intelligent_Automation%2C_Inc.,93,year
Intelligent_Decisions%2C_Inc.,N/A,year
Intelligent_Software_Solutions%2C_Inc.,78,year
Intelliteach,N/A,hour
Intelsat_Corporation,101,year
Intent_Media,N/A,year
InterDyn,N/A,year
InterImage,N/A,year
InterSys_Consulting,N/A,year
InterWorks,N/A,year
Interact,N/A,year
Interactive_Data_Corp.,N/A,year
Interactive_Intelligence%2C_Inc.,81,year
Intercall_Inc,N/A,year
Intercom_Enterprises,N/A,year
Interconnect_Systems_Inc,N/A,year
Interface_Security_Systems,N/A,hour
Intergraph_Corporation,74,year
Interlude,N/A,year
Intermedix,70,year
Internap%2C_Inc.,N/A,year
International_Business_Machines_(IBM)_Corp.,109,year
International_Decision_Systems%2C_Inc.,N/A,year
International_Game_Technology_(IGT),79,year
International_Software_Systems,N/A,year
